company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2017,Total energy consumption within the organization,10594329.07,GJ,302-1-e,9439324
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Total energy consumption within the organization,12677281.2,GJ,302-1-e,22340362
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Water discharge to all areas with water stress,3114310000,m3,303-4-c,22187491
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Total weight of non-hazardous waste directed to disposal,52685,Metric tons,306-5-c,22341303
Orkla ASA,4970,Large,Norway,NOR,20638,Processed Foods,2017,Gross location-based energy indirect (Scope 2) GHG emissions,74620,Metric tons of CO2-equivalent,305-2-a,3111759
The Hershey Company,4436,Large,United States,USA,28568,Processed Foods,2017,Total weight of waste diverted from disposal,45833,Metric tons,306-4-a,9539032
Campbell Soup Company,2698,Large,United States,USA,18445,Processed Foods,2017,Total energy consumption within the organization,10594329.07,GJ,302-1-e,1364572
Mondelez International Inc,2943,Large,United States,USA,18630,Processed Foods,2017,Total weight of waste diverted from disposal,353679,Metric tons,306-4-a,21512204
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Gross location-based energy indirect (Scope 2) GHG emissions,95894,Metric tons of CO2-equivalent,305-2-a,22187279
Mondelez International Inc,2943,Large,United States,USA,18630,Processed Foods,2017,Water withdrawal from all areas,10891947,m3,303-3-a,21512155
Grupo Bimbo SAB de CV,5894,Large,Mexico,MEX,21342,Processed Foods,2017,Significant air emissions,465.07,Metric tons,305-7-a,20588040
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2017,Total weight of waste generated,183436,Metric tons,306-3-a,9439522
Mondelez International Inc,2943,Large,United States,USA,18630,Processed Foods,2017,Change in water storage,10891947,m3,303-5-c,21512102
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Water withdrawal breakdown by sources,4259000000,m3,303-3-c,22187626
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Significant air emissions,19.82,Metric tons,305-7-a,20602105
GloryBee Inc,17695,Small,United States,USA,35059,Processed Foods,2017,Total weight of non-hazardous waste diverted from disposal,70.5,Metric tons,306-4-c,12917322
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Water consumption from all areas with water stress,31858298,m3,303-5-b,5893120
